"Wins_1","Wins_2","Wins_3","Wins_4","Wins_5","Wins_6","Wins_7","Wins_8","Wins_9","Wins_10","Wins_11","Wins_12","Wins_13","Wins_14","Wins_15","Wins_16","Wins_17","Wins_18","Wins_19","Wins_20","Wins_21","Wins_22","Wins_23","Wins_24","Wins_25","Wins_26","Wins_27","Wins_28","Wins_29","Wins_30","Wins_31","Wins_32","Wins_33","Wins_34","Wins_35","Wins_36","Wins_37","Wins_38","Wins_39","Wins_40","Wins_41","Wins_42","Wins_43","Wins_44","Wins_45","Wins_46","Wins_47","Wins_48","Wins_49","Wins_50","Wins_51","Wins_52","Wins_53","Wins_54","Wins_55","Wins_56","Wins_57","Wins_58","Wins_59","Wins_60","Wins_61","Wins_62","Wins_63","Wins_64","Wins_65","Wins_66","Wins_67","Wins_68","Wins_69","Wins_70","Wins_71","Wins_72","Wins_73","Wins_74","Wins_75","Wins_76","Wins_77","Wins_78","Wins_79","Wins_80","Wins_81","Wins_82","Wins_83","Wins_84","Wins_85","Wins_86","Wins_87","Wins_88","Wins_89","Wins_90","Wins_91","Wins_92","Wins_93","Wins_94","Wins_95","Wins_96","Wins_97","Wins_98","Wins_99","Wins_100"
"Subj_126",50,100,50,100,100,50,100,100,100,100,50,100,50,100,50,50,100,50,50,100,100,50,100,50,50,50,100,50,50,100,50,50,50,100,50,100,50,50,50,100,50,50,50,50,100,50,50,100,50,50,100,50,50,100,50,50,100,100,50,50,100,50,100,50,50,50,100,100,50,50,100,100,50,50,50,50,50,100,50,50,50,100,50,50,50,50,100,50,50,50,100,50,50,100,50,50,50,100,50,50
"Subj_127",50,100,50,50,100,100,100,50,50,50,100,50,100,50,100,50,100,50,100,50,50,50,100,100,50,100,50,100,50,50,100,100,50,50,50,100,100,50,50,100,100,50,50,100,50,50,100,50,100,50,100,100,100,50,100,100,100,100,50,50,50,100,50,100,50,50,50,100,100,100,100,100,100,100,50,100,50,100,100,100,100,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Subj_128",50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"Subj_129",50,50,50,100,100,50,100,100,50,100,100,50,100,100,100,50,50,100,100,100,50,50,100,50,100,50,100,100,100,50,50,100,50,50,50,50,100,50,50,50,50,50,100,50,50,50,100,50,100,50,50,100,50,50,100,100,50,50,50,50,50,100,50,50,50,50,50,50,100,100,50,50,100,50,50,100,100,50,100,50,50,100,50,100,50,50,100,50,100,50,50,100,50,50,50,100,50,50,50,100
"Subj_130",100,50,100,50,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100
"Subj_131",50,50,100,100,100,50,100,100,100,100,50,50,50,100,50,100,100,50,50,100,100,50,100,50,100,50,100,50,100,100,100,50,100,100,100,100,50,50,100,50,100,50,50,100,50,50,50,100,50,50,50,100,100,50,50,100,50,100,50,50,100,100,50,100,100,50,100,50,50,50,100,100,50,50,50,100,50,100,50,50,100,50,50,50,50,100,100,50,100,50,50,50,50,50,100,100,50,100,100,100
"Subj_132",50,50,50,100,100,50,100,100,50,50,100,50,100,100,100,100,100,50,50,50,50,50,50,50,100,50,50,100,50,100,50,100,50,50,50,50,50,50,50,100,100,50,100,50,100,100,50,50,100,100,50,50,50,100,50,50,50,100,50,100,100,50,50,100,50,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,50,100,50,50,100,50,100,50,100,50,50,50,100,50,50,50,50,50,50
"Subj_133",100,100,100,50,50,50,50,50,50,50,100,50,50,50,50,50,50,50,50,50,50,50,100,100,100,50,50,100,100,100,50,50,50,100,100,100,100,50,50,50,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,100,100,100,100,100,50,100,100,100,50,50,50,50,50,50,100,100,100,100,100,100,100,100,50,50,50,50,50,100,100,100,100,50,50,50,50,50,100,100,100,100,100,100
"Subj_134",100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,100,100,50,100,100,100,50,100,100,100,50,50,100,100,100,50,100,100,50,100,100,100,100,100,50,100,100,100,50,100,50,100,100,50,50,100,100,50,100,50,100,100,50,50,100,50,100,50,50,100,100,100,100,100,50,50,100,100,50,50,100,100,50,50,50,100,50,50,100,100,50,50,100,50,100,100,50,100,100,50,100,50,100,100,50
"Subj_135",100,100,100,100,50,50,50,50,100,100,100,50,50,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"Subj_136",100,50,50,100,50,50,100,100,100,100,100,100,100,100,100,50,50,50,50,50,100,100,50,50,50,50,50,100,100,100,100,100,100,100,100,50,50,50,50,50,100,100,50,50,50,50,50,100,100,100,100,50,50,50,50,50,100,100,50,50,50,50,50,50,100,50,50,50,50,50,50,100,100,100,50,50,50,50,50,100,100,100,50,100,100,100,100,50,100,100,50,100,50,100,50,100,50,100,50,100
"Subj_137",50,50,100,100,50,100,50,100,50,100,50,100,100,100,100,100,50,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,100,100,100,50,50,50,50,50,100,100,100,50,100,50,100,50,50,100,50,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"Subj_138",100,50,100,50,100,50,100,100,50,100,100,100,100,100,100,100,100,50,50,50,100,50,50,50,50,50,100,50,100,50,100,100,50,50,50,100,50,50,100,100,50,50,100,100,100,100,50,100,50,50,50,50,50,50,50,50,50,50,50,50,100,50,50,100,100,50,50,100,50,100,100,50,100,50,50,50,50,100,50,100,50,100,100,100,50,100,50,100,50,50,50,50,50,100,50,50,50,50,50,50
"Subj_139",50,100,100,100,100,50,100,50,100,100,100,100,100,100,100,50,100,100,100,50,50,50,100,100,100,100,50,50,50,100,100,50,100,50,100,50,50,50,50,50,100,100,50,100,50,100,50,100,50,50,50,50,100,100,100,100,100,50,50,100,100,100,100,100,100,100,100,100,50,50,50,50,100,100,100,100,50,50,50,50,100,100,100,100,100,50,50,50,100,100,100,100,100,100,50,50,50,100,100,100
"Subj_140",50,100,50,100,100,50,100,100,100,100,100,100,50,50,50,50,50,100,50,100,100,100,100,100,50,100,100,100,100,50,50,100,100,100,100,100,100,100,100,100,100,100,100,50,100,100,100,50,100,100,50,100,50,100,50,100,50,100,100,100,100,100,100,100,100,100,50,100,100,100,100,100,100,50,100,100,100,100,100,100,100,100,100,50,100,100,50,100,50,100,100,100,100,100,100,100,100,100,50,100
"Subj_141",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,50,50,50,50,50,100,50,100,100,100,100,100,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,50,50,50,50,50,50,100,100,100,100,100,100,100,100,50,50,50,50,50,50,100,100,100,100,100,50,100,100,100,100
"Subj_142",50,50,100,100,100,100,50,50,50,100,100,100,50,50,100,50,50,100,50,50,100,100,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,50,100,100,50,50,50,50,50,50,100,50,50,50,50,50,50,50,50,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,50,50,50,100,50,50,50,50,50,50,50,50,50
"Subj_143",50,50,100,100,50,50,100,50,50,50,50,50,50,50,50,100,50,100,50,50,50,100,50,50,50,100,100,100,50,50,50,50,100,50,50,50,50,50,50,100,100,100,100,50,100,100,100,50,50,100,100,50,50,100,50,100,100,50,50,100,50,50,100,50,50,100,100,50,100,50,50,100,50,50,100,50,50,50,100,100,50,50,100,50,50,100,50,50,100,100,50,100,100,50,50,100,50,100,50,50
"Subj_144",50,100,50,50,100,50,50,100,50,100,50,100,50,100,50,50,50,100,50,100,50,100,50,100,100,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,100,100,100,50,50,50,100,100,100,50,50,100,100,50,50,50,50,100,100,50,50,100,100,50,100,100,100,100,100,50,100,100,50,100,100,100,50,50,100,100,50,100,100,100,50,100,100,50,50,100,100,50,100,100,50,100,100,100,100,100
"Subj_145",50,50,100,100,50,50,50,100,50,100,50,100,100,50,50,100,50,100,100,100,100,100,50,100,100,100,100,50,100,100,100,50,100,50,100,100,100,100,100,100,100,50,50,50,100,100,100,100,100,100,100,50,50,100,100,100,50,100,100,100,100,100,50,100,100,100,100,50,100,100,50,100,100,100,100,100,100,100,50,100,100,50,100,100,100,50,100,100,50,100,100,50,100,100,100,100,100,50,100,100
"Subj_146",100,50,100,50,50,100,50,100,100,50,50,100,100,50,50,100,50,100,100,50,100,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,100,100,100,50,50,100,100,100,100,100,50,50,100,100,100,100,100,50,50,50,100,100,50,100,100,50,100,100,100,100,100,50,50,50,100,100,100,50,50,50,100,100,100,100,100,100,50,50,50
"Subj_147",100,50,100,50,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,100,50,50,50,100,50,100,50,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,50,100,50,50,50,50,50,100,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,50,50,100,50,100,100,50,50,50,50,100,100,100,100,100,100,50,50,50,50,50,50,50
"Subj_148",50,100,100,50,50,100,100,100,100,100,50,100,100,50,50,100,100,50,50,100,50,50,100,50,50,100,50,100,50,50,100,100,50,100,50,100,50,50,100,50,50,100,50,100,50,100,50,100,50,100,50,50,100,50,100,50,100,50,50,50,100,50,50,50,100,50,50,50,100,50,50,50,100,50,50,50,50,50,50,50,50,50,50,100,50,100,50,50,100,50,50,100,100,100,100,50,50,100,50,100
"Subj_149",100,100,100,100,50,50,50,50,50,100,100,100,100,100,50,50,50,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,50,50,50,50,50,50,50,50,50,50,100,100,50,50,50,50,50,50,50
"Subj_150",100,50,100,50,100,100,50,100,100,100,50,50,50,50,50,50,50,100,100,100,100,50,50,100,100,50,50,100,100,50,50,50,50,100,100,100,50,100,100,50,100,100,100,50,100,50,100,100,100,50,50,100,100,50,100,50,50,100,100,50,100,100,50,100,100,50,50,100,50,50,100,50,50,100,50,50,100,100,50,100,100,50,100,100,50,100,100,50,50,50,50,100,100,100,50,50,100,50,100,50
"Subj_151",50,100,100,50,100,100,100,100,100,50,100,50,100,100,100,100,100,50,50,100,100,100,100,50,50,100,100,100,50,50,100,100,100,100,100,50,50,100,50,50,50,100,100,50,50,50,100,50,50,50,50,100,50,50,50,50,100,100,50,50,100,50,50,50,50,50,50,50,50,50,50,100,50,50,50,50,50,50,50,50,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"Subj_152",50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,100,50,50,50,50,50,100,100,100,100,50,50,50,50,50,50,100,100,100,100,100,100,100,50,50,100,100,100,100,100,100,100,100,50,50,50,50,100,100,100,100,50,50,50,50,50,50,100,100,100,100,100,50,100,100,100
"Subj_153",100,50,100,50,100,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,100,50,100,50,50,50,50,100,100,100,50,50,100,50,50,50,50,100,50,100,50,100,100,100,100,100,100,100,50,50,100,100,50,50,100,100,100,50,100,100,100,100,100,50,100,50,100,100,100,100,50,100,50,100,100,100,100,100,100,100,100,50,50,50,100,100,100,100,100,50,50,50,100,50,100
"Subj_154",50,50,100,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,50,50,50,50,100,100,100,50,50,50,100,100,100,50,50,50,50,100,100,50,100,100,100,50,100,100,100,100,50,50,100,50,100,100,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100,100,50,100,50,100,50,100
"Subj_155",100,50,50,50,50,50,50,50,50,50,100,50,50,100,50,50,100,50,50,100,50,50,100,100,100,100,50,50,100,100,100,50,50,100,100,100,50,100,100,50,50,100,50,50,100,50,50,50,50,100,50,50,100,50,50,100,50,50,100,50,50,50,100,50,50,50,100,50,50,100,50,50,100,50,50,100,50,50,100,50,50,50,100,100,100,50,50,100,100,50,100,100,50,50,100,100,100,50,100,100
"Subj_156",100,100,100,100,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,50,50,100,50,100,50,50,100,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,100,100,50,100,100,50,50,50,50,50,50,50,100,50,50,100,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100,100,100
"Subj_157",50,50,100,100,100,100,50,50,50,50,50,50,50,50,50,50,100,100,50,50,100,50,100,50,100,100,50,50,100,50,100,50,100,50,100,50,100,50,50,50,50,100,50,50,50,100,100,100,100,100,100,100,50,100,50,50,50,50,100,100,100,50,50,50,50,50,50,50,50,50,50,50,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,50,50,50,50,50,50,50,50,50
"Subj_158",50,50,50,50,100,100,100,100,50,50,100,100,100,100,100,100,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Subj_159",50,50,100,50,50,50,100,100,100,100,100,100,50,50,50,50,50,50,50,100,100,100,100,100,100,100,50,50,100,100,100,50,100,50,100,50,100,50,100,50,100,50,100,50,100,50,50,50,50,50,50,100,100,50,100,50,100,50,100,50,100,50,100,50,100,100,50,100,50,100,50,100,50,100,100,50,50,100,100,50,50,100,100,50,50,100,100,50,50,100,100,50,50,100,50,50,100,100,50,50
"Subj_160",50,50,100,100,50,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100
"Subj_161",50,50,100,100,50,50,100,50,50,100,100,100,50,100,100,50,50,50,50,50,100,50,100,100,50,100,50,50,50,100,50,50,100,100,100,100,50,100,100,100,100,50,100,100,100,50,100,100,100,50,50,50,100,100,100,50,50,50,100,100,100,50,50,50,50,100,50,100,100,50,50,50,50,50,100,100,100,50,50,50,100,100,50,50,50,100,100,100,50,50,100,100,50,100,50,100,100,100,50,100
"Subj_162",100,100,50,50,50,50,100,100,100,100,50,100,100,50,100,100,100,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100
"Subj_163",100,80,50,110,100,60,40,120,120,50,90,55,80,40,55,100,90,90,45,120,45,110,45,50,80,110,55,60,40,110,100,45,100,90,60,55,130,80,120,40,130,55,120,110,55,90,50,110,100,120,65,90,120,60,45,70,110,110,130,55,40,140,90,50,130,60,40,100,100,120,60,40,45,110,90,70,110,130,55,120,40,65,120,120,100,60,70,120,65,140,50,55,140,110,130,80,70,110,140,40
"Subj_164",100,100,50,80,110,120,90,40,45,45,50,60,40,100,90,120,110,120,80,90,110,55,55,55,60,40,55,50,100,45,60,80,110,50,55,45,40,100,60,90,80,120,110,90,130,110,130,40,120,130,110,60,40,45,55,90,100,65,70,50,70,120,55,55,120,90,100,110,140,130,65,120,100,45,70,110,90,130,60,55,65,40,120,80,40,50,80,40,65,100,60,55,60,120,110,120,120,140,110,130
"Subj_165",100,120,80,100,80,90,110,50,50,110,40,60,120,45,40,90,45,100,55,90,60,120,40,110,55,50,60,55,100,80,55,55,80,110,45,40,100,50,60,90,40,120,130,45,45,55,60,65,110,120,40,130,55,110,55,70,90,90,65,50,100,45,70,70,120,40,120,110,110,50,60,140,55,130,130,65,100,60,80,110,40,120,80,120,40,140,65,110,55,130,140,120,60,110,65,130,75,60,150,70
"Subj_166",100,100,120,80,80,50,110,50,120,90,90,60,40,110,100,90,120,110,40,45,45,55,60,80,40,100,110,55,55,50,80,60,55,100,90,130,45,50,55,40,120,60,45,60,130,120,40,40,110,45,90,55,110,65,55,100,55,70,120,65,50,120,70,45,110,140,70,60,90,130,40,50,60,55,65,80,40,80,40,65,55,60,110,65,75,100,60,65,75,70,110,130,85,45,40,55,70,55,70,80
"Subj_167",100,120,80,90,110,100,80,120,100,50,50,40,45,45,55,60,40,55,50,60,55,40,60,40,45,55,65,70,50,70,60,55,65,80,40,80,40,65,55,60,65,75,60,65,60,40,75,55,55,45,80,85,110,110,120,90,45,55,100,90,120,110,70,80,110,100,90,130,55,70,80,65,70,80,90,50,60,75,60,75,85,70,75,85,95,55,65,80,65,120,130,110,90,100,120,120,110,140,130,100
"Subj_168",100,50,100,50,80,40,60,40,45,110,55,120,45,55,60,120,55,40,80,55,50,60,45,55,50,40,90,60,100,40,90,45,120,55,110,65,70,90,50,80,70,45,60,55,110,60,65,40,80,40,80,110,40,100,65,55,55,60,65,80,75,60,55,65,100,75,90,85,65,120,110,45,45,55,90,70,55,70,70,40,80,50,65,60,70,70,80,40,90,50,60,130,75,60,120,130,75,85,110,70
"Subj_169",100,120,80,90,110,100,80,120,100,50,50,40,45,45,55,60,40,55,50,60,55,40,60,40,45,55,65,70,50,70,60,55,65,80,40,80,40,65,55,60,65,75,60,65,60,40,75,55,55,45,80,85,110,110,120,90,45,55,100,90,120,110,70,80,110,100,90,130,55,70,80,65,70,80,90,50,60,75,60,75,85,70,75,85,95,55,65,80,65,120,130,110,90,100,120,120,110,140,130,100
"Subj_170",50,60,40,55,55,45,50,45,60,100,80,110,120,90,100,90,120,110,50,40,45,45,55,60,40,55,50,60,100,120,80,80,110,100,90,90,110,40,55,40,60,100,80,40,45,130,55,65,70,50,70,55,55,65,120,110,120,130,110,90,100,120,120,45,70,60,55,65,80,40,80,40,65,55,60,65,75,60,65,90,110,140,40,75,110,130,130,100,110,120,120,140,50,60,85,90,100,45,55,70
"Subj_171",100,50,100,50,120,40,80,60,80,45,110,40,120,45,90,55,100,60,90,40,120,55,110,90,55,80,50,55,110,110,60,45,100,90,130,100,80,120,50,55,120,110,130,45,40,60,90,110,90,100,60,120,120,40,45,55,40,110,65,110,55,130,70,50,70,140,130,55,100,65,110,120,120,140,60,110,130,55,90,100,140,45,70,65,80,120,120,110,40,50,60,70,40,110,90,130,150,60,40,130
"Subj_172",50,60,40,55,55,45,100,80,110,120,90,100,90,120,110,100,120,80,90,110,50,40,45,45,55,60,40,55,50,60,55,40,60,40,45,55,65,70,50,70,60,55,65,80,40,80,40,65,55,50,80,110,100,90,130,100,60,120,45,80,65,130,60,120,110,40,75,55,90,110,90,100,120,120,110,140,110,55,130,130,100,60,65,45,110,120,90,65,70,120,100,140,110,130,40,140,75,50,120,120
"Subj_173",100,80,50,100,50,120,110,80,60,120,90,40,40,100,90,120,110,80,55,45,90,110,55,45,55,60,40,55,50,60,100,55,80,110,45,40,120,100,50,60,110,90,130,45,60,40,45,55,65,70,50,90,70,40,60,55,65,80,40,80,40,55,65,55,65,55,110,130,90,100,120,45,70,40,50,60,70,40,60,60,120,65,75,65,60,65,55,75,80,40,60,55,65,40,130,110,85,90,80,65
"Subj_174",100,50,100,50,120,80,40,60,80,110,120,90,90,110,100,40,90,120,110,45,100,55,55,80,80,45,110,55,100,90,60,45,40,50,130,55,50,60,120,110,120,130,45,60,110,55,40,60,90,40,45,90,100,55,40,65,120,120,110,70,50,55,55,110,140,70,130,60,130,55,65,100,110,90,100,45,65,70,120,120,80,40,40,50,120,80,60,40,140,65,55,70,110,110,60,65,75,40,60,90
"Subj_175",100,120,80,90,100,110,100,80,80,120,110,120,110,90,90,110,100,90,130,120,110,90,80,100,110,120,100,110,90,90,50,130,130,120,120,130,100,110,120,60,140,90,50,40,110,100,120,110,120,100,120,110,140,55,55,130,130,100,110,45,140,50,110,120,45,40,60,120,120,40,55,130,55,140,65,110,120,45,45,70,130,40,45,50,140,60,70,140,40,60,130,65,120,55,110,80,110,130,150,40
"Subj_176",50,100,60,120,40,80,100,50,55,55,90,45,110,50,80,40,100,80,45,110,120,90,45,100,60,90,45,40,120,110,55,55,120,60,55,110,40,65,80,110,55,90,45,50,100,70,60,90,130,40,55,110,50,40,130,60,60,70,40,40,45,60,55,65,65,55,70,80,50,40,70,60,60,55,65,55,80,65,40,40,80,80,90,40,65,65,75,100,55,55,120,60,60,120,70,65,75,60,65,65
"Subj_177",50,40,100,45,50,45,55,60,120,80,100,80,110,40,55,50,120,60,55,90,40,60,40,90,45,55,100,65,60,110,70,50,70,60,90,55,65,120,80,40,80,100,40,65,55,110,60,40,65,80,120,110,80,110,75,60,65,75,85,45,55,70,55,70,80,65,70,80,90,50,60,75,60,75,85,70,75,85,95,55,65,80,65,100,55,55,90,90,45,130,50,45,60,40,55,55,120,65,110,45
"Subj_178",100,120,80,100,50,50,90,80,40,60,110,40,120,90,100,90,110,120,110,100,80,45,45,55,80,55,120,110,55,60,100,110,45,90,40,130,90,55,50,110,50,120,45,60,55,60,130,40,40,60,55,40,55,45,90,55,65,130,65,45,70,70,50,40,70,110,50,100,90,60,60,120,70,55,40,100,65,60,80,65,55,40,80,40,80,60,40,55,65,65,55,40,60,80,65,75,60,120,65,65
"Subj_179",100,100,50,80,110,120,90,40,45,45,50,60,40,100,90,120,110,120,80,90,110,55,55,55,60,40,55,50,100,45,60,80,110,50,55,45,40,100,60,90,80,120,110,90,130,110,130,40,120,130,110,60,40,45,55,90,100,65,70,50,70,120,55,55,120,90,100,110,140,130,65,120,100,45,70,110,90,130,60,55,65,40,120,80,40,50,80,40,65,100,60,55,60,120,110,120,120,140,110,130
"Subj_180",50,60,100,120,80,90,100,80,40,50,110,100,55,80,55,45,110,120,40,50,45,45,60,90,45,120,40,110,55,100,55,60,90,90,120,40,55,110,80,110,65,55,45,50,70,60,40,50,60,110,70,100,40,130,90,55,60,100,90,65,40,55,120,130,80,40,60,60,40,45,55,65,55,40,110,65,80,120,70,65,75,55,50,70,90,130,60,60,130,70,110,65,55,75,45,55,85,65,70,80
"Subj_181",50,100,60,100,40,50,40,120,80,90,55,110,100,45,80,80,120,110,90,110,130,90,45,110,55,100,120,45,90,55,120,50,45,60,100,40,110,90,60,90,120,40,130,55,110,80,55,120,110,55,50,60,65,100,90,45,55,100,130,120,120,70,140,110,130,110,40,40,50,90,110,60,100,40,60,45,120,100,70,120,130,120,40,110,140,130,60,55,100,65,65,110,140,120,130,110,55,70,120,120
"Subj_182",100,100,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,100,100,50,50,50,50,50,50,50,50,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,100,50,50,100,100,50,50,50,50,100,100,100,50,50,50,50,100,100,50,50,50,50,50,50,50,50,50,50
"Subj_183",100,100,50,100,50,100,100,50,100,100,100,100,100,100,100,50,100,100,50,50,50,100,100,50,100,100,100,50,100,50,50,50,50,50,100,100,50,50,100,100,50,100,100,50,50,50,50,50,50,50,100,100,100,100,50,50,50,100,50,50,50,50,100,100,100,50,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"Subj_184",100,100,50,100,50,100,100,50,100,100,100,100,100,100,100,50,100,100,100,50,50,100,100,50,50,50,50,50,50,100,100,50,50,50,50,100,100,50,50,50,50,50,50,50,50,50,50,50,100,50,100,100,100,100,100,100,50,50,100,100,50,50,50,50,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"Subj_185",100,50,100,50,100,100,100,100,100,100,100,100,100,100,50,100,100,100,100,100,100,50,100,100,50,50,50,50,50,50,50,50,50,50,50,50,100,100,50,50,50,50,100,100,100,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,50,50,100,50,50,50,50,50,50,50,50,50,50,50,50,50,100,50
"Subj_186",50,100,100,100,100,100,50,50,100,100,100,100,50,50,100,100,100,100,100,100,50,50,100,100,100,100,50,100,100,50,50,50,100,100,50,50,50,50,50,100,50,50,50,50,100,100,50,50,50,50,50,100,100,100,100,100,100,100,50,50,50,50,50,50,50,100,50,50,100,100,50,50,100,100,50,50,100,50,50,50,50,50,100,100,50,50,100,50,50,100,50,50,50,50,50,50,50,50,100,50
"Subj_187",100,100,100,100,50,50,50,50,100,100,100,50,50,50,100,100,100,100,100,100,100,100,50,50,100,100,100,100,100,100,100,50,50,100,50,100,100,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"Subj_188",100,100,50,100,50,100,100,100,100,100,100,50,50,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"Subj_189",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,50,50,100,50,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,50,50,50,100,100,100,50,100,100,100,100,100,100,100,50,50,100,50,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50,100,50,50,50,100,100,100,100,100,50,100,100,50,50,100,50,50,50,50
